FeatureCode,DateCode,Measurement,Units,Value
S92000003,1994,Count,Index (1994=100),100
S92000003,1995,Count,Index (1994=100),107.5
S92000003,1996,Count,Index (1994=100),102
S92000003,1997,Count,Index (1994=100),110.7
S92000003,1998,Count,Index (1994=100),117.7
S92000003,1999,Count,Index (1994=100),114.7
S92000003,2000,Count,Index (1994=100),118.8
S92000003,2001,Count,Index (1994=100),117.4
S92000003,2002,Count,Index (1994=100),114.8
S92000003,2003,Count,Index (1994=100),120.9
S92000003,2004,Count,Index (1994=100),121.7
S92000003,2005,Count,Index (1994=100),124.6
S92000003,2006,Count,Index (1994=100),115.5
S92000003,2007,Count,Index (1994=100),123.6
S92000003,2008,Count,Index (1994=100),127.4
S92000003,2009,Count,Index (1994=100),118.1
S92000003,2010,Count,Index (1994=100),113.7
S92000003,2011,Count,Index (1994=100),110.6
S92000003,2012,Count,Index (1994=100),116.4
S92000003,2013,Count,Index (1994=100),104.8
S92000003,2014,Count,Index (1994=100),120.1
